ano;periodo;notas_aprov;notas_rep_notas;freq_rep_notas;n_evasao;evasao_perc;rep_freq;rep_nota;rep;rep_perc;n_total;tempo
2011;1;50,0;;;;;;;;;1;2011,0
2013;1;69,0;30,0;100,0;;;;3,0;;;7;2013,0
2013;2;77,66666666666667;;;;;;;;;3;2013,5
2014;1;71,75;25,0;90,0;1,0;12,5;2,0;1,0;3,0;37,5;8;2014,0
2014;2;68,5;;;;;2,0;;;;4;2014,5
2015;1;64,71428571428571;19,833333333333332;94,66666666666667;;;;6,0;;;27;2015,0
2015;2;84,8;;;;;1,0;;;;6;2015,5
2016;1;71,9;12,0;86,25;;;1,0;4,0;5,0;11,11111111111111;45;2016,0
2016;2;74,66666666666667;29,0;86,0;1,0;20,0;;1,0;;;5;2016,5
2017;1;79,01960784313725;27,88235294117647;95,29411764705883;;;1,0;17,0;18,0;26,08695652173913;69;2017,0
2017;2;75,0;17,5;86,75;;;1,0;4,0;5,0;25,0;20;2017,5
2018;1;77,3;22,666666666666668;93,5;;;3,0;18,0;21,0;29,577464788732392;71;2018,0
2018;2;73,21428571428571;25,25;93,25;;;2,0;4,0;6,0;30,0;20;2018,5
2019;1;74,66666666666667;23,0;93,0;;;5,0;21,0;26,0;26,53061224489796;98;2019,0
2019;2;75,15384615384616;24,285714285714285;84,57142857142857;;;2,0;7,0;9,0;40,909090909090914;22;2019,5
2020;1;84,73913043478261;19,0;100,0;17,0;23,28767123287671;1,0;5,0;6,0;8,21917808219178;73;2020,0
2020;2;83,57142857142857;37,333333333333336;89,66666666666667;3,0;13,043478260869565;3,0;3,0;6,0;26,08695652173913;23;2020,5
2021;1;85,26530612244898;22,57894736842105;93,63157894736842;12,0;12,5;15,0;19,0;34,0;35,41666666666667;96;2021,0
2021;2;80,3157894736842;16,75;96,15;1,0;2,380952380952381;1,0;20,0;21,0;50,0;42;2021,5
2022;1;77,81818181818181;19,77777777777778;95,5925925925926;2,0;2,127659574468085;7,0;27,0;34,0;36,17021276595745;94;2022,0
2012;1;;17,0;96,0;;;1,0;1,0;2,0;100,0;2;2012,0
2012;2;;31,0;100,0;;;1,0;1,0;2,0;100,0;2;2012,5
2019;Anual;;5,0;0,0;;;;1,0;;;1;2019,0
2022;2;;;;;;;;;;27;2022,5
