Aprovados;Reprovados;Total;Taxa_apr;Taxa_rep;Outros
4;7;11;36,36363636363637;63,63636363636363;0,0
5;24;32;15,625;75,0;9,375
51;33;98;52,04081632653062;33,6734693877551;14,285714285714285
100;62;184;54,347826086956516;33,69565217391305;11,956521739130437
286;101;437;65,44622425629291;23,112128146453088;11,441647597254004
618;194;931;66,38023630504833;20,83780880773362;12,781954887218053
1096;389;1591;68,88749214330609;24,450031426775613;6,662476429918296
1558;534;2277;68,42336407553799;23,45191040843215;8,124725516029862
2149;684;4464;48,14068100358423;15,32258064516129;36,536738351254485
341;46;2415;14,120082815734989;1,9047619047619049;83,97515527950311
